,,,Overall,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mathew Barzal,NYI,20,F,82,22,63,85,30,1,17:45,14:33,3:10,0:01,17,5,0,4,1,41,22,0,10,2,58,27,0,14,3,31.8%,0.869,2.489,3.359,0.821,1.98,2.801,1.164,5.119,6.283,0.268,0.768,1.037,170,12.9%,21,31,355,479,42.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jakub Vorácek,PHI,28,F,82,20,65,85,50,10,19:27,15:57,3:29,0:01,15,5,0,3,1,35,30,0,12,2,50,35,0,15,3,41.2%,0.79,2.568,3.359,0.658,1.536,2.195,1.054,6.323,7.375,0.244,0.793,1.037,228,8.8%,23,32,15,19,44.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,John Tavares,NYI,27,F,82,37,47,84,26,-12,19:55,15:12,3:09,1:33,23,12,2,3,2,28,18,1,5,3,51,30,3,8,5,35.7%,1.299,1.651,2.95,1.111,1.352,2.463,2.791,4.188,6.981,0.451,0.573,1.024,257,14.4%,30,34,913,813,52.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mikko Rantanen,COL,21,F,81,29,55,84,34,0,18:57,15:13,3:42,0:01,17,12,0,3,0,32,23,0,11,2,49,35,0,14,2,41.7%,1.16,2.2,3.36,0.831,1.565,2.395,2.399,4.601,7,0.358,0.679,1.037,178,16.3%,32,40,60,57,51.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Johnny Gaudreau,CGY,24,F,80,24,60,84,26,2,19:25,15:51,3:31,0:01,21,3,0,4,0,39,21,0,15,3,60,24,0,19,3,28.6%,0.972,2.43,3.402,1.04,1.931,2.97,0.635,4.442,5.076,0.3,0.75,1.05,227,10.6%,16,18,1,4,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Evgeny Kuznetsov,WSH,25,F,79,27,56,83,48,3,18:48,15:20,3:24,0:03,19,7,1,8,2,33,23,0,8,1,52,30,1,16,3,36.1%,1.107,2.297,3.404,0.952,1.654,2.606,1.563,5.135,6.698,0.342,0.709,1.051,187,14.4%,50,26,450,568,44.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Artemi Panarin,CBJ,26,F,81,27,55,82,26,23,20:07,17:09,2:56,0:01,20,7,0,5,1,41,14,0,10,2,61,21,0,15,3,25.6%,0.96,1.956,2.915,0.889,1.822,2.711,1.773,3.546,5.321,0.333,0.679,1.012,228,11.8%,15,19,0,7,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,David Pastrnak,BOS,21,F,82,35,45,80,37,10,17:59,14:51,3:05,0:01,22,13,0,5,0,32,13,0,9,0,54,26,0,14,0,32.5%,1.383,1.778,3.161,1.062,1.545,2.608,3.081,3.081,6.164,0.427,0.549,0.976,246,14.2%,55,31,5,20,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Jamie Benn,DAL,28,F,82,36,43,79,54,20,19:49,15:22,3:02,1:23,26,9,1,7,1,29,13,1,7,1,55,22,2,14,2,27.8%,1.264,1.51,2.775,1.256,1.401,2.656,2.174,3.138,5.312,0.439,0.524,0.963,241,14.9%,140,62,381,345,52.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,William Karlsson,VGK,24,F,82,43,35,78,12,49,18:43,14:40,2:24,1:39,31,8,4,6,1,26,8,1,6,1,57,16,5,12,2,20.5%,1.699,1.383,3.082,1.497,1.256,2.753,2.424,2.424,4.846,0.524,0.427,0.951,184,23.4%,48,45,402,435,48.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tyler Seguin,DAL,25,F,82,40,38,78,43,12,20:54,16:12,3:08,1:33,25,14,1,6,1,26,11,1,8,3,51,25,2,14,4,32.1%,1.405,1.335,2.739,1.098,1.142,2.239,3.257,2.559,5.817,0.488,0.463,0.951,335,11.9%,74,44,790,650,54.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Aleksander Barkov,FLA,22,F,79,27,51,78,14,9,22:04,16:56,3:22,1:45,17,5,5,3,0,39,12,0,8,1,56,17,5,11,1,21.8%,0.984,1.859,2.843,0.775,1.777,2.552,1.117,2.68,3.796,0.342,0.646,0.987,256,10.6%,30,67,908,789,53.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Eric Staal,MIN,33,F,82,42,34,76,42,8,17:48,14:33,2:10,1:04,29,11,2,4,0,27,6,1,3,0,56,17,3,7,0,22.4%,1.66,1.343,3.003,1.401,1.304,2.704,3.669,2.003,5.672,0.512,0.415,0.927,241,17.4%,42,49,571,544,51.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sean Couturier,PHI,25,F,82,31,45,76,31,34,21:35,16:28,3:13,1:53,24,7,0,6,2,38,7,0,10,3,62,14,0,16,5,18.4%,1.089,1.581,2.669,1.054,1.668,2.722,1.599,1.599,3.196,0.378,0.549,0.927,227,13.7%,74,44,529,472,52.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Patrick Kane,CHI,29,F,82,27,49,76,32,-20,20:11,16:42,3:23,0:04,22,5,0,4,2,32,17,0,10,2,54,22,0,14,4,28.9%,0.948,1.721,2.669,0.966,1.405,2.371,1.076,3.657,4.733,0.329,0.598,0.927,285,9.5%,18,14,7,11,38.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Vincent Trocheck,FLA,24,F,82,31,44,75,54,-9,21:21,16:03,3:28,1:48,15,13,3,5,0,29,14,1,3,0,44,27,4,8,0,36.0%,1.089,1.545,2.634,0.658,1.273,1.932,2.739,2.95,5.69,0.378,0.537,0.915,287,10.8%,145,55,853,724,54.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Jonathan Marchessault,VGK,27,F,77,27,48,75,40,36,17:31,15:02,2:27,0:01,21,6,0,6,2,38,10,0,8,1,59,16,0,14,3,21.3%,1.262,2.244,3.506,1.08,1.954,3.034,1.907,3.18,5.087,0.351,0.623,0.974,268,10.1%,99,26,264,343,43.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Alexander Radulov,DAL,31,F,82,27,45,72,72,4,20:07,16:47,3:18,0:01,20,7,0,4,2,29,16,0,7,0,49,23,0,11,2,31.9%,0.948,1.581,2.529,0.878,1.273,2.151,1.537,3.512,5.049,0.329,0.549,0.878,217,12.4%,77,64,6,4,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
