Rk,,Name,Team,Age,GP,GAA,SV%,W,L,SO,TIME,G,A,P,PIM
78,,Linus Ullmark,BUF,24,5,2,0.935,1,2,0,240,0,0,0,0
79,,Reto Berra,ANA,30,5,2.31,0.926,1,1,0,182,0,0,0,0
80,,Adin Hill,ARI,21,4,3.49,0.892,1,3,0,241,0,0,0,0
81,,Oscar Dansk,VGK,23,4,1.78,0.946,3,0,1,169,0,0,0,0
82,,Eric Comrie,WPG,22,3,3.99,0.872,1,2,0,180,0,0,0,0
83,,Michael Hutchinson,WPG,27,3,3.26,0.907,2,1,0,129,0,1,1,0
84,,Ken Appleby,NJD,22,3,1.45,0.946,0,1,0,124,0,0,0,0
85,,Collin Delia,CHI,23,2,3.96,0.889,1,1,0,106,0,0,0,2
86,,Mike McKenna,DAL,34,2,2.96,0.9,1,1,0,101,0,0,0,0
87,,Calvin Pickard,TOR,25,1,3.84,0.857,0,0,0,63,0,0,0,0
88,,Thatcher Demko,VAN,22,1,3.91,0.867,1,0,0,61,0,0,0,0
89,,Daniel Taylor,OTT,31,1,4.1,0.882,0,1,0,58,0,0,0,0
90,,Andrew Hammond,COL,29,1,2.06,0.939,0,1,0,58,0,0,0,0
91,,Adam Wilcox,BUF,25,1,0,1,0,1,0,39,0,0,0,0
92,,Marek Langhamer,ARI,23,1,0,1,0,0,0,29,0,0,0,0
93,,Scott Foster,CHI,35,1,0,1,0,0,0,14,0,0,0,0
94,,Brandon Halverson,NYR,21,1,4.78,0.833,0,0,0,13,0,0,0,0
95,,Dylan Ferguson,VGK,19,1,6.5,0.5,0,0,0,9,0,0,0,0
